region	chr	midPos	Nsites
(770,1121)(270388,270754)(250000,300000)	JASDQU010010013.1	275000	353	0.079159
(186,2304)(154310,159994)(150000,200000)	JASDQU010010031.1	175000	2120	0.157313
(1516,1933)(191701,192313)(150000,200000)	JASDQU010010034.1	175000	419	-0.007229
(655,1317)(211015,211701)(200000,250000)	JASDQU010010035.1	225000	664	0.081222
(171,1073)(343091,343994)(300000,350000)	JASDQU010010040.1	325000	904	0.141997
(454,978)(150627,186614)(150000,200000)	JASDQU010010049.1	175000	526	0.081681
(2068,2539)(153670,154159)(150000,200000)	JASDQU010010054.1	175000	473	0.015067
(135,624)(118504,119079)(100000,150000)	JASDQU010010058.1	125000	491	0.732089
(20,653)(248649,249513)(200000,250000)	JASDQU010010065.1	225000	635	0.429143
(654,719)(285343,285428)(250000,300000)	JASDQU010010065.1	275000	67	0.088929
(561,714)(75188,75343)(50000,100000)	JASDQU010010068.1	75000	155	0.019687
(137,541)(159900,160334)(150000,200000)	JASDQU010010086.1	175000	406	0.100067
(467,487)(53700,53747)(50000,100000)	JASDQU010010095.1	75000	22	0.036603
(155,877)(324733,331008)(300000,350000)	JASDQU010010118.1	325000	724	0.270848
(2733,2828)(88149,88260)(50000,100000)	JASDQU010010129.1	75000	97	0.078797
(180,484)(50892,51219)(50000,100000)	JASDQU010010137.1	75000	306	0.516497
(906,1764)(57771,58637)(50000,100000)	JASDQU010010145.1	75000	860	0.076346
(696,1726)(250169,268125)(250000,300000)	JASDQU010010146.1	275000	1032	0.199071
(1454,2063)(226518,227172)(200000,250000)	JASDQU010010155.1	225000	611	0.616720
(1349,2539)(250000,251408)(250000,300000)	JASDQU010010184.1	275000	1192	0.167154
(2359,3025)(50000,96347)(50000,100000)	JASDQU010010197.1	75000	668	0.324172
(313,366)(165314,165397)(150000,200000)	JASDQU010010218.1	175000	55	0.018886
(6496,6651)(100961,101136)(100000,150000)	JASDQU010010227.1	125000	157	0.036094
(499,1461)(77884,82410)(50000,100000)	JASDQU010010231.1	75000	964	0.010299
(1462,3082)(302110,303894)(300000,350000)	JASDQU010010231.1	325000	1622	0.164783
(3083,3666)(487311,487979)(450000,500000)	JASDQU010010231.1	475000	585	-0.008143
(3667,3911)(503226,503477)(500000,550000)	JASDQU010010231.1	525000	246	0.012030
(2117,2714)(119962,120597)(100000,150000)	JASDQU010010234.1	125000	599	0.317720
(216,1528)(194105,196473)(150000,200000)	JASDQU010010245.1	175000	1314	0.373151
(330,1117)(56913,62784)(50000,100000)	JASDQU010010265.1	75000	789	0.423148
(85,638)(251392,261055)(250000,300000)	JASDQU010010271.1	275000	555	0.066475
(621,1501)(53704,54594)(50000,100000)	JASDQU010010292.1	75000	882	0.265879
(1502,1869)(290579,294601)(250000,300000)	JASDQU010010292.1	275000	369	0.013858
(1800,1891)(220360,220520)(200000,250000)	JASDQU010010307.1	225000	93	0.039235
(872,1493)(106643,107273)(100000,150000)	JASDQU010010310.1	125000	623	0.130156
(141,681)(292694,294130)(250000,300000)	JASDQU010010346.1	275000	542	0.240510
(683,1383)(78502,79205)(50000,100000)	JASDQU010010379.1	75000	702	0.557852
(272,1026)(75791,76624)(50000,100000)	JASDQU010010393.1	75000	756	0.422067
(312,316)(213032,213057)(200000,250000)	JASDQU010010405.1	225000	6	0.082152
(729,738)(99522,99607)(50000,100000)	JASDQU010010406.1	75000	11	0.037809
(547,958)(262553,275451)(250000,300000)	JASDQU010010416.1	275000	413	0.435268
(332,337)(72724,72730)(50000,100000)	JASDQU010010418.1	75000	7	0.039202
(528,704)(91278,91454)(50000,100000)	JASDQU010010419.1	75000	178	0.023323
(531,1465)(220846,241231)(200000,250000)	JASDQU010010437.1	225000	936	0.117585
(705,868)(101973,102137)(100000,150000)	JASDQU010010459.1	125000	165	0.028886
(309,427)(217875,218057)(200000,250000)	JASDQU010010510.1	225000	120	0.034791
(428,919)(254488,297238)(250000,300000)	JASDQU010010510.1	275000	493	0.081499
(2124,3210)(294956,296677)(250000,300000)	JASDQU010010524.1	275000	1088	0.316186
(81,2900)(50000,82971)(50000,100000)	JASDQU010010538.1	75000	2821	0.027592
(2901,4036)(293960,295135)(250000,300000)	JASDQU010010538.1	275000	1137	0.670798
(4037,5252)(437589,444948)(400000,450000)	JASDQU010010538.1	425000	1217	0.288584
(701,6771)(225421,234732)(200000,250000)	JASDQU010010545.1	225000	6072	0.353397
(424,806)(229273,230183)(200000,250000)	JASDQU010010551.1	225000	384	0.044025
(221,1964)(59752,97147)(50000,100000)	JASDQU010010577.1	75000	1745	0.430152
(1965,2047)(300571,300661)(300000,350000)	JASDQU010010577.1	325000	84	0.740133
(401,496)(75653,75889)(50000,100000)	JASDQU010010589.1	75000	97	-0.005025
(359,602)(111336,111602)(100000,150000)	JASDQU010010590.1	125000	245	0.208691
(294,2011)(181666,183538)(150000,200000)	JASDQU010010591.1	175000	1719	0.266792
(1251,1459)(78115,78324)(50000,100000)	JASDQU010010600.1	75000	210	-0.001112
(2924,2955)(108812,108844)(100000,150000)	JASDQU010010631.1	125000	33	0.281861
(146,2642)(164773,169592)(150000,200000)	JASDQU010010645.1	175000	2498	0.277219
(772,3672)(161638,166480)(150000,200000)	JASDQU010010666.1	175000	2902	0.611003
(3673,3802)(396997,397130)(350000,400000)	JASDQU010010666.1	375000	131	0.052978
(1,66)(200000,200068)(200000,250000)	JASDQU010010672.1	225000	67	0.294828
(413,785)(75071,75463)(50000,100000)	JASDQU010010688.1	75000	374	0.043240
(6,46)(119748,119796)(100000,150000)	JASDQU010010689.1	125000	42	0.256505
(92,1383)(212741,214035)(200000,250000)	JASDQU010010690.1	225000	1293	0.489613
(2348,2374)(75580,75651)(50000,100000)	JASDQU010010697.1	75000	28	0.032629
(339,924)(150000,150586)(150000,200000)	JASDQU010010711.1	175000	587	0.355071
(734,793)(88271,88334)(50000,100000)	JASDQU010010712.1	75000	61	0.050348
(63,109)(80421,82115)(50000,100000)	JASDQU010010732.1	75000	48	0.013514
(244,762)(100000,100521)(100000,150000)	JASDQU010010736.1	125000	520	0.198546
(1150,1279)(58029,58163)(50000,100000)	JASDQU010010737.1	75000	131	0.080507
(848,1679)(196222,197067)(150000,200000)	JASDQU010010770.1	175000	833	0.015606
(977,1925)(50736,51805)(50000,100000)	JASDQU010010788.1	75000	950	0.158958
(421,850)(160362,160833)(150000,200000)	JASDQU010010812.1	175000	431	0.034801
(1751,1879)(117893,118255)(100000,150000)	JASDQU010010819.1	125000	130	0.113793
(163,2638)(109756,114162)(100000,150000)	JASDQU010010860.1	125000	2477	0.270346
(1971,4211)(82505,94507)(50000,100000)	JASDQU010010883.1	75000	2242	0.088666
(655,655)(187046,187046)(150000,200000)	JASDQU010010907.1	175000	2	0.044694
(670,1410)(141965,145758)(100000,150000)	JASDQU010010916.1	125000	742	0.217503
(966,1712)(51242,52014)(50000,100000)	JASDQU010010917.1	75000	748	0.321425
(2353,2503)(197007,197372)(150000,200000)	JASDQU010010949.1	175000	152	0.072820
(240,1041)(72123,98030)(50000,100000)	JASDQU010010950.1	75000	803	0.137374
(719,809)(125784,125876)(100000,150000)	JASDQU010010955.1	125000	92	0.048246
(135,828)(191001,191702)(150000,200000)	JASDQU010010971.1	175000	695	0.355410
(829,966)(201220,201700)(200000,250000)	JASDQU010010971.1	225000	139	0.067051
